id,title,sector,ai_rating
8b40301a-6a7d-40c4-8d6c-0a80767f73dc,Agricultural Data Analyst,Agriculture & Environment,8
3b8f49bf-8cc8-49e9-9ec9-0d2bb97a6dd5,Agricultural Technician,Agriculture & Environment,3
6c2842c1-bc82-4a8d-b16b-1f3b8f0abc9d,Carbon Footprint / Sustainability Officer,Agriculture & Environment,7
bba8a4f1-49a8-4955-889d-87ab1a53df68,Drone Operator / Pilot,Agriculture & Environment,7
4a4b4ef7-175b-4e21-96ef-41ea7a8d00f9,Ecologist,Agriculture & Environment,3
012bf8eb-9ad3-447f-a2ed-fa80410a8144,Environmental Consultant,Agriculture & Environment,3
9dc2aa41-a166-48b4-a320-5017ce56e0a9,Environmental Data Scientist,Agriculture & Environment,8
74439d0b-f149-416f-a468-7b5f0ae75e93,Farm Worker,Agriculture & Environment,3
8b633fed-abf8-4e1e-b626-9a899b70fa53,Forestry Worker,Agriculture & Environment,2
c603fa51-acf7-48ff-b238-0f8a3b773047,Landscape Manager,Agriculture & Environment,2
312251af-9352-4387-8735-f3ee4e4056d2,Peatland Restoration Specialist,Agriculture & Environment,7
85e18b40-d479-4c72-bc8f-9563f51c8525,Precision Agriculture Technologist,Agriculture & Environment,7
316e7454-a11f-4cf7-b90d-ee6876619bfb,Army Officer,Armed Forces,3
8e0e95c9-ee32-4564-8e7c-0cebe834f140,Army Soldier,Armed Forces,2
d01b0165-bdc3-4f9e-b70a-e9268671d1ce,RAF Airman / Airwoman,Armed Forces,3
b97d5257-fd9e-423f-bcaf-ebb17a164714,RAF Officer,Armed Forces,4
9d417ab5-4b42-4858-8286-8e92fe33639f,Royal Marines Commando,Armed Forces,2
5b85f8c5-75e5-4684-9419-2af4afaa40bf,Royal Navy Officer,Armed Forces,3
178066f7-bf55-492d-abcb-635ffe08775b,Royal Navy Rating,Armed Forces,3
971cf3d5-897a-4f0f-b3f0-a57f727dc9a2,Accountant (Qualified),Business & Finance,5
a3d291d3-b81a-4a4a-a85e-bbc82d58b307,Actuary,Business & Finance,4
bdbf0553-f38e-442e-99d6-976fd45eae4a,AI-Savvy Financial Analyst,Business & Finance,9
22bcd24e-2e89-4ee1-b399-0d7e32b58c0a,Bank Clerk / Cashier,Business & Finance,8
fe89b76d-485e-48cc-b39c-eedf04d5b53b,Bookkeeper / Payroll Clerk,Business & Finance,8
da660885-dbd2-4208-8833-344c9411263c,Business Analyst,Business & Finance,8
e4da1ee0-150e-4d6f-a240-47f6d5df4642,Data Governance Manager (Finance),Business & Finance,9
6cac69d5-2337-4527-8c5e-2051aeb77ea1,Economist,Business & Finance,5
516fb037-fbc6-46d2-8884-f3d2ab595efd,Entrepreneur / Small Business Owner,Business & Finance,5
123cefb1-e7bb-4976-bd9a-a067bbf687ed,Financial Adviser,Business & Finance,3
dea139d4-1971-46de-ad8f-ed9953f09dd0,Financial AI Compliance Specialist,Business & Finance,9
07dae8b6-135f-49b9-ac6b-555a0f6105ca,FinTech Product Manager,Business & Finance,9
2143d3e6-d9b6-4fc3-856f-053cabeb98c0,Forensic AI Auditor,Business & Finance,9
13f51e26-278a-4d23-b10a-f3f373c221ba,HR Manager / Recruitment Consultant,Business & Finance,6
ed847716-3319-4e2c-9e65-21730dba64e6,Insurance Underwriter,Business & Finance,6
94ec2fb3-cdbb-411a-b62a-5790e144fb9f,Investment Banker,Business & Finance,6
b1a93caa-f4e9-4758-bf35-7b5c50930bd8,Management Consultant,Business & Finance,5
5ed07aec-1e1a-48a5-a5e3-ac494c01f7f7,Marketing Manager / Brand Manager,Business & Finance,6
9f124311-392c-41c3-bf18-a4d809da4a35,Mortgage Adviser,Business & Finance,4
09f4f42c-e205-459d-a539-9ac70ef42532,Tax Adviser,Business & Finance,6
f10b9ef7-25fa-43c1-8856-a1e561414f3c,AI / ML Engineer,Computing & Digital Technology,10
fdb3f491-eea7-40a7-940b-51f3d31dc630,AI Ethics Officer,Computing & Digital Technology,10
40596b52-34b2-46d3-b7b1-2392ddd0d332,AI Operations Engineer,Computing & Digital Technology,10
73d91733-bd76-481a-b5aa-896d67a5f8da,AI Product Manager,Computing & Digital Technology,10
8c8f11e0-4c79-43fb-9db6-2fa9a1233104,AI Safety Researcher,Computing & Digital Technology,10
abf51422-7453-4f62-822e-6c07c0ef5bdf,AI Solutions Engineer,Computing & Digital Technology,10
b2fc4471-54c4-4a83-9414-2f8274c67e5d,Cybersecurity Analyst,Computing & Digital Technology,3
6340712e-e374-401a-85a1-7dec813f1e8f,Data Analyst,Computing & Digital Technology,6
afce4eca-6cda-4c57-afb8-756800e9228a,Data Engineer,Computing & Digital Technology,9
4a0b553e-c411-421e-a521-14af7e1f3e8b,IT Support Technician,Computing & Digital Technology,5
0aac8ad5-cee1-403b-a097-9d10dad2cbcc,Junior Software Developer,Computing & Digital Technology,7
a65b30dd-a8cc-434e-a805-e37962e488c0,Prompt Engineer,Computing & Digital Technology,10
70533e10-9f52-4195-b480-99123273c071,Senior Software Developer,Computing & Digital Technology,6
c43326d1-fe78-42fd-a22e-76f37d1d47de,Architect,Construction & Trades,6
8453ce56-63a5-4f29-ab99-9e41a0d5d4cb,BIM / Digital Twin Manager,Construction & Trades,8
d9022355-d8da-47c5-b252-fe0f924f72e3,Bricklayer,Construction & Trades,1
54720abb-e417-41f3-af08-161e3a05efac,Building Services Engineer,Construction & Trades,3
9b6a40b4-9f7d-4267-ad8f-88a494c8b825,Civil Engineer,Construction & Trades,3
e397ed77-f236-4b07-be0e-54261fa46b52,Construction Technology Specialist,Construction & Trades,8
9e015239-5492-44c7-98f4-94c809bcabee,Drone Survey Operator,Construction & Trades,7
d89a6072-656f-4957-b59c-b872b917e657,Electrician,Construction & Trades,2
94a8e002-af7b-4d30-80b5-7fe30bb825a7,Groundworker / Civil Operative,Construction & Trades,1
1cc2e57f-8ad0-4be5-81e6-7da084ac1a9b,Joiner / Carpenter,Construction & Trades,2
cbe6beb4-ed44-4a0b-8b48-b2be2427750d,Painter and Decorator,Construction & Trades,1
9388e85a-5a3c-49d3-ba2c-8dae82e84051,Plasterer,Construction & Trades,2
ee5efbee-25af-4e68-b1f7-39a19d9b901a,Plumber,Construction & Trades,2
b5f6748d-3461-4c8c-9f6d-e60fc8a4993e,Quantity Surveyor,Construction & Trades,5
4781da2a-b196-413a-b1cc-a97080ab0e60,Roofer / Slater,Construction & Trades,1
068407f1-2953-4fb1-b72b-7bf6fae0ca07,Scaffolder,Construction & Trades,1
c4f412c6-c9eb-4da6-82d2-911867c74116,Site Manager,Construction & Trades,3
a1eb21e1-8515-49a3-8f7f-c93076f83025,Smart Building Technician,Construction & Trades,8
3877f5af-6c49-41a7-a58a-71927351dfd0,Sustainability / Energy Modelling Analyst,Construction & Trades,8
bdf9a653-388c-41ae-91b0-b32575a8c159,Welder / Fabricator,Construction & Trades,2
7874798f-f9a6-4dc1-9da7-cb12c7c55878,AI Content Strategist,Creative Arts & Design,9
88bd88c6-771d-40da-9d16-c16ccf6db13e,AI Creative Director,Creative Arts & Design,10
c1b4a2b2-fe5c-4676-b111-4293c271e74b,AI Ethics and Copyright Specialist,Creative Arts & Design,10
b2955a2e-3496-4bbf-abbe-9008928acbd4,Animator,Creative Arts & Design,6
e7b53862-1aef-4bb0-8c80-aab853e08ce8,CreaTech Specialist,Creative Arts & Design,9
227a2f41-ebec-4306-84be-f73526c7359c,Fashion Designer,Creative Arts & Design,3
ed1b95e3-40f2-4102-8d2d-b12f3fcda086,Games Artist,Creative Arts & Design,6
30c66607-7c36-46c2-81f2-b6eb6a9179ac,Graphic Designer,Creative Arts & Design,6
10edec8a-6f1d-4254-a1a8-611f657e9921,Illustrator,Creative Arts & Design,7
d3172dd3-f51b-4d15-91fb-afedf99280c3,Journalist / Content Writer,Creative Arts & Design,6
988182e2-2968-4a79-abf3-6544d2b88358,Marketing Content Creator,Creative Arts & Design,6
4a5c2390-70ed-442a-b46c-9f8803845e8e,Photographer,Creative Arts & Design,4
2c1db102-ae8c-46c6-8664-efe2c19f7a14,Prompt Artist / Designer,Creative Arts & Design,10
48b1f1a7-9ae8-4ba3-8138-e76bb5b28515,UX Designer,Creative Arts & Design,3
a30e605a-07bc-42b9-a860-57db6fa711f0,Video Editor,Creative Arts & Design,4
cd590b40-fd21-42b9-848d-eff3dad40fbb,Additional Support Needs Teacher,Education & Teaching,3
4ba0a89f-99c4-4488-992e-07d2fa3a3217,AI Literacy Curriculum Developer,Education & Teaching,9
ee5b1c41-94eb-4f0f-b5d9-d3cb2f08a0c5,Digital Learning Designer,Education & Teaching,8
debb917c-baea-4a8d-b6a3-2eeaa5b41cdf,Early Years Teacher,Education & Teaching,3
5ae85890-2a28-488c-a0b9-d1dfb39dbdb9,Educational Psychologist,Education & Teaching,2
c23b9cbb-3a8b-4434-bf14-17d39d64e900,FE Lecturer,Education & Teaching,4
1c4e0c82-3551-46d2-955f-bac192a775b3,Learning Technologist,Education & Teaching,7
ab4a99fd-4fef-4dcd-8bc9-7e9d7d9fbf0f,Nursery Practitioner / Childcare Worker,Education & Teaching,1
6d1a648c-d256-45e0-8657-faea1f2f7eff,Online / AI-Assisted Tutoring Coordinator,Education & Teaching,8
2ee40558-838e-4041-bb67-9581650a9ca7,Primary Teacher,Education & Teaching,3
d9db8040-2f41-4404-bbc4-395937c82930,School Librarian,Education & Teaching,3
da919333-7b4a-4fc0-a1d6-8cc2d8d3a0a4,Secondary Teacher,Education & Teaching,3
4e5939dd-1f69-4885-bd46-0392aee97b22,Teaching Assistant,Education & Teaching,2
78a69993-0814-49f8-98d5-a5d0e09b8d01,Youth Worker (CLD),Education & Teaching,2
6d8b8df8-97ab-4352-95a2-acb4b4478a50,Aerospace Engineer,Engineering & Manufacturing,3
8cbe6ea2-f187-40a9-ac0e-9fa8058e66b1,AI Quality Systems Analyst,Engineering & Manufacturing,9
7c011909-823a-42b5-8d18-1ed6db5139ba,Automotive Engineer,Engineering & Manufacturing,4
a7e38a6c-4342-4255-a86a-061f0de29116,Chemical Engineer,Engineering & Manufacturing,3
3961010f-e446-4c4f-9892-c4c9d4041a3f,CNC Operator / Programmer,Engineering & Manufacturing,5
98ca56e8-f682-46a8-aaea-64f0d93383a9,Digital Manufacturing Engineer,Engineering & Manufacturing,8
f844bcc4-1dc6-401e-bfc2-a4ae4ad92c6f,Electrical Engineer,Engineering & Manufacturing,3
f7fb8ac5-7c63-4e98-94e3-adf79b637bec,Maintenance Engineer,Engineering & Manufacturing,2
5af9e938-436e-4d17-bcb2-7f83a781f948,Manufacturing Technician,Engineering & Manufacturing,3
408920e9-0b4a-4321-8776-09cdf2f734fc,Marine / Naval Architecture Engineer,Engineering & Manufacturing,4
234293ea-cdd6-4983-9bae-33246179cfd3,Materials Engineer / Metallurgist,Engineering & Manufacturing,5
ee08591c-bf52-439c-a1b7-73e017087979,Mechanical Engineer,Engineering & Manufacturing,3
988abbb7-42f7-44b5-9684-5ad06de1cfae,Nuclear Engineer,Engineering & Manufacturing,2
96282f82-cd5e-4c63-b214-3ec0089f2986,Petroleum / Energy Engineer,Engineering & Manufacturing,5
c2948f32-77e7-410a-9bc8-26e9c6169c3b,Predictive Maintenance Analyst,Engineering & Manufacturing,8
9ad84342-d89b-42ef-be29-9c3fb0d41bc2,Process Engineer,Engineering & Manufacturing,6
5abc98ec-88ab-4245-a8a0-d9da3061e00d,Quality Control Inspector,Engineering & Manufacturing,5
39ee6825-939d-4c25-84c6-c2242576a3ee,Renewable Energy Engineer,Engineering & Manufacturing,3
ddec8e5c-8bca-4dff-be62-185b6404cac7,Robotics Technician,Engineering & Manufacturing,6
7b7296eb-71fa-4702-b6ee-c3e8ef2917e7,Smart Factory Coordinator,Engineering & Manufacturing,8
05707342-2d84-4114-b115-109577193e83,Structural Engineer,Engineering & Manufacturing,4
870701a5-a6e7-45fe-9893-07be0a9e7d96,Sustainability Engineer,Engineering & Manufacturing,4
eda71a97-79b1-45f4-83ec-f7d2fb9b01b2,Wind Turbine Engineer / Technician,Engineering & Manufacturing,4
3477d18e-8a20-41bd-b3b8-2cac513abf8b,AI Healthcare Data Analyst,Healthcare & Medicine,9
f7ab0688-176e-4d4a-8216-540813e42b87,Chief Nursing Information Officer (CNIO),Healthcare & Medicine,8
5a23c452-71df-4f4d-a75c-7e6abb3dd023,Clinical AI Safety Specialist,Healthcare & Medicine,10
61507572-ce66-4a80-96f5-c27b8d7140c6,Clinical Informatician,Healthcare & Medicine,8
46545111-2911-462c-9776-f1caf0d58226,Dentist,Healthcare & Medicine,2
f225db33-31cc-4dc5-9329-3424a96e37fd,Dietitian,Healthcare & Medicine,4
839c1cd3-2c99-43ae-9e48-7f3af7c6aa4f,Digital Medicines Specialist,Healthcare & Medicine,8
47764fc6-985e-4c02-8f61-877aaab678b9,Doctor / GP,Healthcare & Medicine,4
